name,value,year,lastValue
TOROSLAR,10.0,2017.50,7.0
TOROSLAR,4.0,2017.51,10.0
TOROSLAR,5.0,2017.52,4.0
TOROSLAR,514.0,2018,5.0
YENISEHIR,5.0,2017.1,0.0
YENISEHIR,7.0,2017.2,5.0
YENISEHIR,6.0,2017.3,7.0
YENISEHIR,5.0,2017.4,6.0
YENISEHIR,8.0,2017.5,5.0
YENISEHIR,4.0,2017.6,8.0
YENISEHIR,6.0,2017.7,4.0
YENISEHIR,3.0,2017.8,6.0
YENISEHIR,5.0,2017.9,3.0
YENISEHIR,2.0,2017.10,5.0
YENISEHIR,2.0,2017.11,2.0
YENISEHIR,4.0,2017.12,2.0
YENISEHIR,4.0,2017.13,4.0
YENISEHIR,3.0,2017.14,4.0
YENISEHIR,4.0,2017.15,3.0
YENISEHIR,4.0,2017.16,4.0
YENISEHIR,9.0,2017.17,4.0
YENISEHIR,8.0,2017.18,9.0
YENISEHIR,8.0,2017.19,8.0
YENISEHIR,3.0,2017.20,8.0
YENISEHIR,3.0,2017.21,3.0
YENISEHIR,6.0,2017.22,3.0
YENISEHIR,5.0,2017.23,6.0
YENISEHIR,9.0,2017.24,5.0
YENISEHIR,13.0,2017.25,9.0
YENISEHIR,25.0,2017.26,13.0
YENISEHIR,9.0,2017.27,25.0
YENISEHIR,9.0,2017.28,9.0
YENISEHIR,8.0,2017.29,9.0
YENISEHIR,13.0,2017.30,8.0
YENISEHIR,20.0,2017.31,13.0
YENISEHIR,3.0,2017.32,20.0
YENISEHIR,4.0,2017.33,3.0
YENISEHIR,3.0,2017.34,4.0
YENISEHIR,3.0,2017.35,3.0
YENISEHIR,5.0,2017.36,3.0
YENISEHIR,1.0,2017.37,5.0
YENISEHIR,2.0,2017.38,1.0
YENISEHIR,2.0,2017.39,2.0
YENISEHIR,0.0,2017.40,2.0
YENISEHIR,1.0,2017.41,0.0
YENISEHIR,3.0,2017.42,1.0
YENISEHIR,3.0,2017.43,3.0
YENISEHIR,3.0,2017.44,3.0
YENISEHIR,2.0,2017.45,3.0
YENISEHIR,0.0,2017.46,2.0
YENISEHIR,2.0,2017.47,0.0
YENISEHIR,1.0,2017.48,2.0
YENISEHIR,4.0,2017.49,1.0
YENISEHIR,2.0,2017.50,4.0
YENISEHIR,2.0,2017.51,2.0
YENISEHIR,4.0,2017.52,2.0
YENISEHIR,270.0,2018,4.0
YUREGIR,4.0,2017.1,0.0
YUREGIR,7.0,2017.2,4.0
YUREGIR,13.0,2017.3,7.0
YUREGIR,7.0,2017.4,13.0
YUREGIR,15.0,2017.5,7.0
YUREGIR,9.0,2017.6,15.0
YUREGIR,23.0,2017.7,9.0
YUREGIR,13.0,2017.8,23.0
YUREGIR,15.0,2017.9,13.0
YUREGIR,20.0,2017.10,15.0
YUREGIR,17.0,2017.11,20.0
YUREGIR,11.0,2017.12,17.0
YUREGIR,13.0,2017.13,11.0
YUREGIR,10.0,2017.14,13.0
YUREGIR,11.0,2017.15,10.0
YUREGIR,12.0,2017.16,11.0
YUREGIR,21.0,2017.17,12.0
YUREGIR,15.0,2017.18,21.0
YUREGIR,15.0,2017.19,15.0
YUREGIR,16.0,2017.20,15.0
YUREGIR,12.0,2017.21,16.0
YUREGIR,12.0,2017.22,12.0
YUREGIR,14.0,2017.23,12.0
YUREGIR,19.0,2017.24,14.0
YUREGIR,13.0,2017.25,19.0
YUREGIR,12.0,2017.26,13.0
YUREGIR,11.0,2017.27,12.0
YUREGIR,12.0,2017.28,11.0
YUREGIR,12.0,2017.29,12.0
YUREGIR,8.0,2017.30,12.0
YUREGIR,14.0,2017.31,8.0
YUREGIR,6.0,2017.32,14.0
YUREGIR,10.0,2017.33,6.0
YUREGIR,6.0,2017.34,10.0
YUREGIR,10.0,2017.35,6.0
YUREGIR,13.0,2017.36,10.0
YUREGIR,11.0,2017.37,13.0
YUREGIR,13.0,2017.38,11.0
YUREGIR,10.0,2017.39,13.0
YUREGIR,13.0,2017.40,10.0
YUREGIR,16.0,2017.41,13.0
YUREGIR,18.0,2017.42,16.0
YUREGIR,8.0,2017.43,18.0
YUREGIR,15.0,2017.44,8.0
YUREGIR,13.0,2017.45,15.0
YUREGIR,5.0,2017.46,13.0
YUREGIR,7.0,2017.47,5.0
YUREGIR,15.0,2017.48,7.0
YUREGIR,26.0,2017.49,15.0
YUREGIR,11.0,2017.50,26.0
YUREGIR,5.0,2017.51,11.0
YUREGIR,7.0,2017.52,5.0
YUREGIR,644.0,2018,7.0
